Name;Country;Base_City;Institution;Specialization;Key_Projects
Dr. Christos Verikoukis;Greece;Patras / Athens;Athena RC / Uni Patras;Edge AI & Cell-Free Networks;MARSAL, 6G-BRICKS, ADROIT6G
Dr. Mikko Uusitalo;Finland;Espoo (Helsinki);Nokia Bell Labs;6G System Architecture & Vision;Hexa-X,Hexa-X-II
Prof. Gerhard Fettweis;Germany;Dresden;TU Dresden / Barkhausen;Tactile Internet & Hardware;6G-Life,Hexa-X, 6G-ANNA
Prof. Dimitra Simeonidou;UK;Bristol;University of Bristol;Optical-Wireless Convergence & Smart Cities;TITAN,6G-FUTURES
Dr. Emilio Calvanese Strinati;France;Grenoble;CEA-Leti;RIS (Intelligent Surfaces) & Edge;RISE-6G, 6G-DISAC
Prof. Rahim Tafazolli;UK;Guildford (Surrey);University of Surrey;Spectrum Efficiency & Satellite Integration;6GIC, HASC
Prof. Sonia Heemstra de Groot;Netherlands;Eindhoven;TU Eindhoven;Integrated Sensing and Comms (ISAC);FNS (Dutch Growth Fund), Hexa-X-II
Dr. Diego Lopez;Spain;Madrid;Telefonica I+D;Network Softwarization (NFV/SDN) & Security;TERAFLOW, DAEMON
Prof. Klaus Witrisal;Austria;Graz;TU Graz;Positioning & Radio Sensing (ISAC);6G Lighthouse (AT), REINDEER
Dr. Angelos Amditis;Greece;Athens;ICCS / NTUA;V2X (Vehicle-to-Everything) & ITS;6G-IA Board, PoDIUM
Prof. Albert Banchs;Spain;Madrid (Leganés);IMDEA Networks / UC3M;Native Network Intelligence (AI);DAEMON, PREDICT-6G
Dr. Toon Norp;Netherlands;The Hague;TNO;Standardization & Private Networks;FNS (Dutch Growth Fund), 6G-IA
Prof. Petar Popovski;Denmark;Aalborg;Aalborg University;Massive IoT & Information Theory;Hexa-X, DEDICAT 6G
Dr. Eric Hardouin;France;Paris (Châtillon);Orange Labs;Connectivity Vision & Green Networks;Hexa-X, NGMN Alliance
Prof. Hans-Peter Bernhard;Austria;Linz;Silicon Austria Labs (SAL) / JKU;Industrial IoT & Sub-THz Reliability;6G Lighthouse
Prof. Ari Pouttu;Finland;Oulu;University of Oulu;6G Verticals & Health;6G Flagship, Hexa-X
Dr. Alain Mourad;UK;London;InterDigital Europe;XR & Immersive Tech;Hexa-X, 6G-XR
Prof. Panagiotis Demestichas;Greece;Piraeus (Athens);University of Piraeus / WINGS;Advanced Network Management;DEDICAT 6G, ARIADNE
Dr. Volker Ziegler;Germany;Munich;Nokia;6G Strategic Alliances & Architecture;6G-ANNA (DE), Hexa-X
Prof. Marco Di Renzo;France;Paris (Saclay);CNRS / CentraleSupelec;Metasurfaces (RIS) Theory;RISE-6G, META-CANVAS
Dr. Marios Kountouris;France;Sophia Antipolis;EURECOM;Semantic Communications;6G-GOALS, MARSAL
